stock,taxa,variable,year,mean,sd,lower,upper,status
Lobatus gigas_2,Lobatus gigas_2,b_div_bmsy,2019,1.0880559571952,0.918481190277149,0.230924310713041,4.37235375281664,fully fished
Lobatus gigas,Lobatus gigas,b_div_bmsy,2019,2.48880224349645,0.196311197932216,1.82855936100173,3.40550900761265,underfished
Ocyurus chrysurus,Ocyurus chrysurus,b_div_bmsy,2019,0.333043868183659,1.002197075349,0.0675169592832774,1.61346712264297,overfished
Lutjanus synagris,Lutjanus synagris,b_div_bmsy,2019,0.455990968440377,1.12862043584737,0.0926580055838286,2.78492901772922,overfished
Panulirus argus,Panulirus argus,b_div_bmsy,2019,1.44566196068727,0.116643050260565,1.21243078131277,1.74823316427382,underfished
Panulirus argus_2,Panulirus argus_2,b_div_bmsy,2019,1.346349351552,0.171220261791087,1.01257590517337,1.75264873527237,underfished
Panulirus argus_3,Panulirus argus_3,b_div_bmsy,2019,0.970698178609406,0.234892085766386,0.660176298137876,1.40493892415113,fully fished
