Stock,yr,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Lobatus gigas_2,1951,0.0782381413711079,2.72645460317487e-06,0.0782381413711079,2.72645460317487e-06
Lobatus gigas_2,1952,0.00106815745786682,0.000199701588107714,0.00106815745786682,0.000199701588107714
Lobatus gigas_2,1953,0.000160067652975117,0.00133264114716708,0.000160067652975117,0.00133264114716708
Lobatus gigas_2,1954,7.86863991648689e-05,0.00271092263655573,7.86863991648689e-05,0.00271092263655573
Lobatus gigas_2,1955,5.35839135594426e-05,0.0039809100626528,5.35839135594426e-05,0.0039809100626528
Lobatus gigas_2,1956,4.93112328395131e-05,0.0043258448106407,4.93112328395131e-05,0.0043258448106407
Lobatus gigas_2,1957,4.66768579857172e-05,0.00456998928142026,4.66768579857172e-05,0.00456998928142026
Lobatus gigas_2,1958,4.65375066585083e-05,0.00458367360010044,4.65375066585083e-05,0.00458367360010044
Lobatus gigas_2,1959,4.68902288403144e-05,0.00454919385041911,4.68902288403144e-05,0.00454919385041911
Lobatus gigas_2,1960,4.66803694386314e-05,0.00456964551160066,4.66803694386314e-05,0.00456964551160066
Lobatus gigas_2,1961,4.88612541529019e-05,0.00436568287865846,4.88612541529019e-05,0.00436568287865846
Lobatus gigas_2,1962,4.58114583410156e-05,0.0046563184934482,4.58114583410156e-05,0.0046563184934482
Lobatus gigas_2,1963,4.44940629751115e-05,0.00479418435678538,4.44940629751115e-05,0.00479418435678538
Lobatus gigas_2,1964,4.59322266171392e-05,0.00464407576978877,4.59322266171392e-05,0.00464407576978877
Lobatus gigas_2,1965,4.60324874404836e-05,0.00463396076436016,4.60324874404836e-05,0.00463396076436016
Lobatus gigas_2,1966,4.66683443684044e-05,0.00457082297587399,4.66683443684044e-05,0.00457082297587399
Lobatus gigas_2,1967,4.56238899735928e-05,0.00467546149196329,4.56238899735928e-05,0.00467546149196329
Lobatus gigas_2,1968,4.49860411893551e-05,0.00474175399847316,4.49860411893551e-05,0.00474175399847316
Lobatus gigas_2,1969,4.87785245261718e-05,0.00437308718861825,4.87785245261718e-05,0.00437308718861825
Lobatus gigas_2,1970,4.54325898940524e-05,0.00469514815647848,4.54325898940524e-05,0.00469514815647848
Lobatus gigas_2,1971,4.78632584447135e-05,0.00445671163260852,4.78632584447135e-05,0.00445671163260852
Lobatus gigas_2,1972,4.74875326968869e-05,0.00449197354696608,4.74875326968869e-05,0.00449197354696608
Lobatus gigas_2,1973,4.54438813417518e-05,0.00469398155234423,4.54438813417518e-05,0.00469398155234423
Lobatus gigas_2,1974,4.45037140028167e-05,0.00479314469510572,4.45037140028167e-05,0.00479314469510572
Lobatus gigas_2,1975,4.56728897002399e-05,0.0046704454674341,4.56728897002399e-05,0.0046704454674341
Lobatus gigas_2,1976,4.49018754058031e-05,0.00475064212256788,4.49018754058031e-05,0.00475064212256788
Lobatus gigas_2,1977,4.65012925748086e-05,0.00458724325440928,4.65012925748086e-05,0.00458724325440928
Lobatus gigas_2,1978,4.64176759935191e-05,0.00459550669264195,4.64176759935191e-05,0.00459550669264195
Lobatus gigas_2,1979,4.74504181310617e-05,0.00449548705969074,4.74504181310617e-05,0.00449548705969074
Lobatus gigas_2,1980,4.62802896953202e-05,0.00460914877779325,4.62802896953202e-05,0.00460914877779325
Lobatus gigas_2,1981,4.85772905456266e-05,0.00439120293225798,4.85772905456266e-05,0.00439120293225798
Lobatus gigas_2,1982,4.69180400806707e-05,0.00454649726029335,4.69180400806707e-05,0.00454649726029335
Lobatus gigas_2,1983,4.55716300328961e-05,0.00468082314657436,4.55716300328961e-05,0.00468082314657436
Lobatus gigas_2,1984,4.53989286278156e-05,0.0046986293979283,4.53989286278156e-05,0.0046986293979283
Lobatus gigas_2,1985,4.67805806203854e-05,0.00455985662974325,4.67805806203854e-05,0.00455985662974325
Lobatus gigas_2,1986,4.51033369235259e-05,0.00472942259342765,4.51033369235259e-05,0.00472942259342765
Lobatus gigas_2,1987,4.44077541056312e-05,0.00480350211311527,4.44077541056312e-05,0.00480350211311527
Lobatus gigas_2,1988,4.38608524663131e-05,0.00486339705433075,4.38608524663131e-05,0.00486339705433075
Lobatus gigas_2,1989,4.45208489952611e-05,0.00479129993023737,4.45208489952611e-05,0.00479129993023737
Lobatus gigas_2,1990,4.63578277058895e-05,0.00460143952469979,4.63578277058895e-05,0.00460143952469979
Lobatus gigas_2,1991,4.92151804061811e-05,0.00433428748862845,4.92151804061811e-05,0.00433428748862845
Lobatus gigas_2,1992,4.94554726737223e-05,0.00431322822637675,4.94554726737223e-05,0.00431322822637675
Lobatus gigas_2,1993,5.5182714895403e-05,0.00386557169377096,5.5182714895403e-05,0.00386557169377096
Lobatus gigas_2,1994,7.35952934863167e-05,0.0028984562813757,7.35952934863167e-05,0.0028984562813757
Lobatus gigas_2,1995,0.000132728534114195,0.00160713551241043,0.000132728534114195,0.00160713551241043
Lobatus gigas_2,1996,0.000699139734547381,0.000305107448689353,0.000699139734547381,0.000305107448689353
Lobatus gigas_2,1997,0.0446039690511251,0.0593014039056365,0.0446039690511251,0.0593014039056365
Lobatus gigas_2,1998,0.222386041710925,0.0117022427142306,0.222386041710925,0.0117022427142306
Lobatus gigas_2,1999,0.55177922734049,0.00703595149672643,0.55177922734049,0.00703595149672643
Lobatus gigas_2,2000,0.910014403724182,0.00698529566829004,0.910014403724182,0.00698529566829004
Lobatus gigas_2,2001,1.39100799811805,0.0111486319768025,1.39100799811805,0.0111486319768025
Lobatus gigas_2,2002,1.39715017860463,0.00867205534269375,1.39715017860463,0.00867205534269375
Lobatus gigas_2,2003,1.54971159996541,0.0101170349636055,1.54971159996541,0.0101170349636055
Lobatus gigas_2,2004,1.65361606499125,0.00988122713754921,1.65361606499125,0.00988122713754921
Lobatus gigas_2,2005,1.75338115654332,0.0139784973810472,1.75338115654332,0.0139784973810472
Lobatus gigas_2,2006,2.01258137763831,0.0212827162198191,2.01258137763831,0.0212827162198191
Lobatus gigas_2,2007,1.61019844019951,0.0117903690917884,1.61019844019951,0.0117903690917884
Lobatus gigas_2,2008,1.85687711224982,0.0237106426628635,1.85687711224982,0.0237106426628635
Lobatus gigas_2,2009,1.24832481809314,0.0621316754973915,1.24832481809314,0.0621316754973915
Lobatus gigas_2,2010,1.08699103378158,0.117156169859075,1.08699103378158,0.117156169859075
Lobatus gigas_2,2011,1.05245591630417,0.11433231088958,1.05245591630417,0.11433231088958
Lobatus gigas_2,2012,1.04301267451954,0.156700130214826,1.04301267451954,0.156700130214826
Lobatus gigas_2,2013,1.18770311512168,0.177032766704299,1.18770311512168,0.177032766704299
Lobatus gigas_2,2014,1.30519428591071,0.196022388344424,1.30519428591071,0.196022388344424
Lobatus gigas_2,2015,1.35085022641342,0.176243335658871,1.35085022641342,0.176243335658871
Lobatus gigas_2,2016,1.29277673443953,0.152793280241109,1.29277673443953,0.152793280241109
Lobatus gigas_2,2017,1.38553544607312,0.1696605026607,1.38553544607312,0.1696605026607
Lobatus gigas_2,2018,1.29499424554049,0.204171673341168,1.29499424554049,0.204171673341168
Lobatus gigas_2,2019,1.0880559571952,0.228423062169628,1.0880559571952,0.228423062169628
Lobatus gigas,1951,0.158316163098473,0.0814249064143245,0.158316163098473,0.0814249064143245
Lobatus gigas,1952,0.168740013620489,0.0763949136164041,0.168740013620489,0.0763949136164041
Lobatus gigas,1953,0.227504491270248,0.113324169489518,0.227504491270248,0.113324169489518
Lobatus gigas,1954,0.250820208859269,0.102789793715553,0.250820208859269,0.102789793715553
Lobatus gigas,1955,0.254680185256471,0.101231894041436,0.254680185256471,0.101231894041436
Lobatus gigas,1956,0.240868007138471,0.107036869838487,0.240868007138471,0.107036869838487
Lobatus gigas,1957,0.203389767345043,0.0633801736067636,0.203389767345043,0.0633801736067636
Lobatus gigas,1958,0.26405497466315,0.0976378406096135,0.26405497466315,0.0976378406096135
Lobatus gigas,1959,0.330342802124252,0.117068197169189,0.330342802124252,0.117068197169189
Lobatus gigas,1960,0.32902359616192,0.117537577072353,0.32902359616192,0.117537577072353
Lobatus gigas,1961,0.258844259959954,0.0747025186080761,0.258844259959954,0.0747025186080761
Lobatus gigas,1962,0.264674357990727,0.0974093513404857,0.264674357990727,0.0974093513404857
Lobatus gigas,1963,0.2627280030878,0.0981309842320856,0.2627280030878,0.0981309842320856
Lobatus gigas,1964,0.250389904452334,0.102966441816923,0.250389904452334,0.102966441816923
Lobatus gigas,1965,0.217723084985269,0.0592076800907002,0.217723084985269,0.0592076800907002
Lobatus gigas,1966,0.314721513177988,0.081919272908921,0.314721513177988,0.081919272908921
Lobatus gigas,1967,0.523763589271613,0.123060088828389,0.523763589271613,0.123060088828389
Lobatus gigas,1968,0.644236302583436,0.0800382015882974,0.644236302583436,0.0800382015882974
Lobatus gigas,1969,0.935267377151035,0.110264757044649,0.935267377151035,0.110264757044649
Lobatus gigas,1970,1.1074211356226,0.0931235884850313,1.1074211356226,0.0931235884850313
Lobatus gigas,1971,1.31594269937888,0.097959271100881,1.31594269937888,0.097959271100881
Lobatus gigas,1972,1.48134160782028,0.10442597733931,1.48134160782028,0.10442597733931
Lobatus gigas,1973,1.42726305416929,0.0993507580761843,1.42726305416929,0.0993507580761843
Lobatus gigas,1974,1.27575006670103,0.0895263020803704,1.27575006670103,0.0895263020803704
Lobatus gigas,1975,1.230826750616,0.0852530651351319,1.230826750616,0.0852530651351319
Lobatus gigas,1976,1.3107791367135,0.0710052075673501,1.3107791367135,0.0710052075673501
Lobatus gigas,1977,2.05087773492272,0.126967954550449,2.05087773492272,0.126967954550449
Lobatus gigas,1978,2.1358856540763,0.106222664971022,2.1358856540763,0.106222664971022
Lobatus gigas,1979,1.96177569090111,0.100536695406384,1.96177569090111,0.100536695406384
Lobatus gigas,1980,1.72594002840956,0.0921662637933135,1.72594002840956,0.0921662637933135
Lobatus gigas,1981,1.64451233338527,0.0887343589026136,1.64451233338527,0.0887343589026136
Lobatus gigas,1982,1.75257291640376,0.0923102981770823,1.75257291640376,0.0923102981770823
Lobatus gigas,1983,1.9487319739927,0.100151230181558,1.9487319739927,0.100151230181558
Lobatus gigas,1984,2.07630946891343,0.110450169711244,2.07630946891343,0.110450169711244
Lobatus gigas,1985,1.77388490774567,0.102174472894377,1.77388490774567,0.102174472894377
Lobatus gigas,1986,1.39372706521281,0.0808381233391819,1.39372706521281,0.0808381233391819
Lobatus gigas,1987,1.38720457328116,0.0919048231480869,1.38720457328116,0.0919048231480869
Lobatus gigas,1988,1.41050426675287,0.0976980341266146,1.41050426675287,0.0976980341266146
Lobatus gigas,1989,1.35897580505333,0.0789212809522166,1.35897580505333,0.0789212809522166
Lobatus gigas,1990,1.66760367892674,0.0969364734231734,1.66760367892674,0.0969364734231734
Lobatus gigas,1991,1.92719815231834,0.104146520749125,1.92719815231834,0.104146520749125
Lobatus gigas,1992,2.01061589405051,0.100723219180915,2.01061589405051,0.100723219180915
Lobatus gigas,1993,1.98343449043292,0.102688485783768,1.98343449043292,0.102688485783768
Lobatus gigas,1994,1.80960562515976,0.100656250403518,1.80960562515976,0.100656250403518
Lobatus gigas,1995,1.53242500022074,0.0863079211715503,1.53242500022074,0.0863079211715503
Lobatus gigas,1996,1.50397832889822,0.094711610936847,1.50397832889822,0.094711610936847
Lobatus gigas,1997,2.00970767655399,0.12353952164008,2.00970767655399,0.12353952164008
Lobatus gigas,1998,1.77905966106282,0.13701986659896,1.77905966106282,0.13701986659896
Lobatus gigas,1999,1.31665027355864,0.102899865311404,1.31665027355864,0.102899865311404
Lobatus gigas,2000,1.63359233273111,0.137700104198371,1.63359233273111,0.137700104198371
Lobatus gigas,2001,1.82239329174888,0.140057253659875,1.82239329174888,0.140057253659875
Lobatus gigas,2002,1.55044111902739,0.114737750929306,1.55044111902739,0.114737750929306
Lobatus gigas,2003,1.69346935518152,0.134734386204065,1.69346935518152,0.134734386204065
Lobatus gigas,2004,1.9762005586053,0.137049532576954,1.9762005586053,0.137049532576954
Lobatus gigas,2005,1.92861373522686,0.14277051198655,1.92861373522686,0.14277051198655
Lobatus gigas,2006,1.91476418796751,0.157267892215288,1.91476418796751,0.157267892215288
Lobatus gigas,2007,1.76027503375632,0.144194173068983,1.76027503375632,0.144194173068983
Lobatus gigas,2008,1.71856156242361,0.156020176499563,1.71856156242361,0.156020176499563
Lobatus gigas,2009,1.73479655806384,0.185769315489006,1.73479655806384,0.185769315489006
Lobatus gigas,2010,1.81839616624179,0.169785084314115,1.81839616624179,0.169785084314115
Lobatus gigas,2011,2.01588260091486,0.185956639683226,2.01588260091486,0.185956639683226
Lobatus gigas,2012,2.22030834471818,0.21052177959907,2.22030834471818,0.21052177959907
Lobatus gigas,2013,2.01395645686117,0.195863663705186,2.01395645686117,0.195863663705186
Lobatus gigas,2014,1.70394990527857,0.162805086080007,1.70394990527857,0.162805086080007
Lobatus gigas,2015,1.75147215213074,0.172886986414218,1.75147215213074,0.172886986414218
Lobatus gigas,2016,1.94705260098237,0.183791025631643,1.94705260098237,0.183791025631643
Lobatus gigas,2017,2.13774733858065,0.182833320418999,2.13774733858065,0.182833320418999
Lobatus gigas,2018,2.46966145467571,0.213067936966461,2.46966145467571,0.213067936966461
Lobatus gigas,2019,2.48880224349645,0.22209915747704,2.48880224349645,0.22209915747704
Ocyurus chrysurus,1951,0.0499519441385636,1.13086233472148e-05,0.0499519441385636,1.13086233472148e-05
